"STATISTIÈNA REGIJA PREBIVALIŠÈA"	"SPOL"	"2009 SLOVENIJA [delo]"	"2009 Pomurska [delo]"	"2009 Podravska [delo]"	"2009 Koroška [delo]"	"2009 Savinjska [delo]"	"2009 Zasavska [delo]"	"2009 Posavska [delo]"	"2009 Jugovzhodna Slovenija [delo]"	"2009 Osrednjeslovenska [delo]"	"2009 Gorenjska [delo]"	"2009 Primorsko-notranjska [delo]"	"2009 Goriška [delo]"	"2009 Obalno-kraška [delo]"	"2010 SLOVENIJA [delo]"	"2010 Pomurska [delo]"	"2010 Podravska [delo]"	"2010 Koroška [delo]"	"2010 Savinjska [delo]"	"2010 Zasavska [delo]"	"2010 Posavska [delo]"	"2010 Jugovzhodna Slovenija [delo]"	"2010 Osrednjeslovenska [delo]"	"2010 Gorenjska [delo]"	"2010 Primorsko-notranjska [delo]"	"2010 Goriška [delo]"	"2010 Obalno-kraška [delo]"	"2011 SLOVENIJA [delo]"	"2011 Pomurska [delo]"	"2011 Podravska [delo]"	"2011 Koroška [delo]"	"2011 Savinjska [delo]"	"2011 Zasavska [delo]"	"2011 Posavska [delo]"	"2011 Jugovzhodna Slovenija [delo]"	"2011 Osrednjeslovenska [delo]"	"2011 Gorenjska [delo]"	"2011 Primorsko-notranjska [delo]"	"2011 Goriška [delo]"	"2011 Obalno-kraška [delo]"	"2012 SLOVENIJA [delo]"	"2012 Pomurska [delo]"	"2012 Podravska [delo]"	"2012 Koroška [delo]"	"2012 Savinjska [delo]"	"2012 Zasavska [delo]"	"2012 Posavska [delo]"	"2012 Jugovzhodna Slovenija [delo]"	"2012 Osrednjeslovenska [delo]"	"2012 Gorenjska [delo]"	"2012 Primorsko-notranjska [delo]"	"2012 Goriška [delo]"	"2012 Obalno-kraška [delo]"	"2013 SLOVENIJA [delo]"	"2013 Pomurska [delo]"	"2013 Podravska [delo]"	"2013 Koroška [delo]"	"2013 Savinjska [delo]"	"2013 Zasavska [delo]"	"2013 Posavska [delo]"	"2013 Jugovzhodna Slovenija [delo]"	"2013 Osrednjeslovenska [delo]"	"2013 Gorenjska [delo]"	"2013 Primorsko-notranjska [delo]"	"2013 Goriška [delo]"	"2013 Obalno-kraška [delo]"	"2014 SLOVENIJA [delo]"	"2014 Pomurska [delo]"	"2014 Podravska [delo]"	"2014 Koroška [delo]"	"2014 Savinjska [delo]"	"2014 Zasavska [delo]"	"2014 Posavska [delo]"	"2014 Jugovzhodna Slovenija [delo]"	"2014 Osrednjeslovenska [delo]"	"2014 Gorenjska [delo]"	"2014 Primorsko-notranjska [delo]"	"2014 Goriška [delo]"	"2014 Obalno-kraška [delo]"	"2015 SLOVENIJA [delo]"	"2015 Pomurska [delo]"	"2015 Podravska [delo]"	"2015 Koroška [delo]"	"2015 Savinjska [delo]"	"2015 Zasavska [delo]"	"2015 Posavska [delo]"	"2015 Jugovzhodna Slovenija [delo]"	"2015 Osrednjeslovenska [delo]"	"2015 Gorenjska [delo]"	"2015 Primorsko-notranjska [delo]"	"2015 Goriška [delo]"	"2015 Obalno-kraška [delo]"	"2016 SLOVENIJA [delo]"	"2016 Pomurska [delo]"	"2016 Podravska [delo]"	"2016 Koroška [delo]"	"2016 Savinjska [delo]"	"2016 Zasavska [delo]"	"2016 Posavska [delo]"	"2016 Jugovzhodna Slovenija [delo]"	"2016 Osrednjeslovenska [delo]"	"2016 Gorenjska [delo]"	"2016 Primorsko-notranjska [delo]"	"2016 Goriška [delo]"	"2016 Obalno-kraška [delo]"	"2017 SLOVENIJA [delo]"	"2017 Pomurska [delo]"	"2017 Podravska [delo]"	"2017 Koroška [delo]"	"2017 Savinjska [delo]"	"2017 Zasavska [delo]"	"2017 Posavska [delo]"	"2017 Jugovzhodna Slovenija [delo]"	"2017 Osrednjeslovenska [delo]"	"2017 Gorenjska [delo]"	"2017 Primorsko-notranjska [delo]"	"2017 Goriška [delo]"	"2017 Obalno-kraška [delo]"	"2018 SLOVENIJA [delo]"	"2018 Pomurska [delo]"	"2018 Podravska [delo]"	"2018 Koroška [delo]"	"2018 Savinjska [delo]"	"2018 Zasavska [delo]"	"2018 Posavska [delo]"	"2018 Jugovzhodna Slovenija [delo]"	"2018 Osrednjeslovenska [delo]"	"2018 Gorenjska [delo]"	"2018 Primorsko-notranjska [delo]"	"2018 Goriška [delo]"	"2018 Obalno-kraška [delo]"	"2019 SLOVENIJA [delo]"	"2019 Pomurska [delo]"	"2019 Podravska [delo]"	"2019 Koroška [delo]"	"2019 Savinjska [delo]"	"2019 Zasavska [delo]"	"2019 Posavska [delo]"	"2019 Jugovzhodna Slovenija [delo]"	"2019 Osrednjeslovenska [delo]"	"2019 Gorenjska [delo]"	"2019 Primorsko-notranjska [delo]"	"2019 Goriška [delo]"	"2019 Obalno-kraška [delo]"	"2020 SLOVENIJA [delo]"	"2020 Pomurska [delo]"	"2020 Podravska [delo]"	"2020 Koroška [delo]"	"2020 Savinjska [delo]"	"2020 Zasavska [delo]"	"2020 Posavska [delo]"	"2020 Jugovzhodna Slovenija [delo]"	"2020 Osrednjeslovenska [delo]"	"2020 Gorenjska [delo]"	"2020 Primorsko-notranjska [delo]"	"2020 Goriška [delo]"	"2020 Obalno-kraška [delo]"
"SLOVENIJA [prebivališèe]"	"Spol - SKUPAJ"	812315	34498	116152	24051	100792	12179	22034	51073	273390	69162	17548	45300	46136	790967	34425	114063	22614	96303	11725	21135	49443	267710	67728	16784	43850	45187	784177	34495	110908	23060	95193	11545	20627	48316	270354	67024	15461	43149	44045	760170	33670	106734	22568	92124	10774	19852	47193	264779	64901	15227	41118	41230	757639	32846	106720	22129	92190	10536	19706	47088	264359	65261	15067	40962	40775	769831	32426	108593	22504	92766	10390	19950	47902	270635	66298	15417	41602	41348	781820	32572	110304	22248	92859	13362	21266	49179	271983	67505	15470	41839	43233	806765	33396	112687	22804	95954	13348	22062	51173	281866	69590	15796	43503	44586	835916	33955	115694	23669	98770	13636	23063	53833	293767	72665	15771	45167	45926	864381	34773	120263	24190	101870	13890	23518	55872	306120	75872	16243	44798	46972	881861	35601	123401	24313	104003	14036	24011	56852	312625	76705	16392	46289	47633	869877	35329	120942	23874	101946	13889	23938	55195	313238	74799	16011	45268	45448
"SLOVENIJA [prebivališèe]"	"Moški"	452251	19068	63701	13034	57610	6557	12462	29208	150105	38642	9931	25513	26420	435835	18651	62063	12771	53890	6216	11615	28226	145315	37647	9343	24479	25619	428643	18635	58887	13070	52824	6108	11302	27478	146513	36958	8449	23740	24679	412323	17978	56296	12679	50848	5615	10734	26473	142441	35822	8331	22356	22750	410816	17699	56338	12362	51094	5445	10648	26419	141698	36079	8284	22315	22435	418533	17576	57837	12618	51639	5299	10750	26959	144937	36857	8520	22708	22833	424626	17611	58748	12355	51693	6903	11425	27611	145180	37642	8522	22946	23990	437043	17933	59730	12620	53263	6791	11884	28803	149971	38848	8673	23812	24715	453175	18114	61369	12952	54758	6969	12519	30479	156183	40866	8687	24930	25349	471756	18492	64672	13199	56658	7083	12850	31578	164514	43202	8935	24629	25944	483303	19197	67180	13298	58191	7231	13125	32210	167710	44033	9031	25629	26468	477104	19003	66817	12890	57369	7240	13222	30961	167621	42825	8820	25076	25260
"SLOVENIJA [prebivališèe]"	"Ženske"	360064	15430	52451	11017	43182	5622	9572	21865	123285	30520	7617	19787	19716	355132	15774	52000	9843	42413	5509	9520	21217	122395	30081	7441	19371	19568	355534	15860	52021	9990	42369	5437	9325	20838	123841	30066	7012	19409	19366	347847	15692	50438	9889	41276	5159	9118	20720	122338	29079	6896	18762	18480	346823	15147	50382	9767	41096	5091	9058	20669	122661	29182	6783	18647	18340	351298	14850	50756	9886	41127	5091	9200	20943	125698	29441	6897	18894	18515	357194	14961	51556	9893	41166	6459	9841	21568	126803	29863	6948	18893	19243	369722	15463	52957	10184	42691	6557	10178	22370	131895	30742	7123	19691	19871	382741	15841	54325	10717	44012	6667	10544	23354	137584	31799	7084	20237	20577	392625	16281	55591	10991	45212	6807	10668	24294	141606	32670	7308	20169	21028	398558	16404	56221	11015	45812	6805	10886	24642	144915	32672	7361	20660	21165	392773	16326	54125	10984	44577	6649	10716	24234	145617	31974	7191	20192	20188
"Pomurska [prebivališèe]"	"Spol - SKUPAJ"	38426	32257	3018	25	270	13	27	50	2458	100	23	55	130	38491	32223	3147	25	251	9	35	50	2458	83	21	44	145	38373	32037	3084	22	244	13	16	47	2584	120	20	47	139	37239	31085	2926	19	272	9	21	41	2561	108	50	56	91	36402	30147	2940	34	303	9	16	29	2654	89	39	56	86	36054	29643	3014	28	311	8	23	28	2747	87	34	45	86	36446	29720	3335	37	355	16	27	42	2685	74	31	36	88	37395	30423	3407	42	422	10	25	35	2796	85	27	40	83	38043	30761	3509	41	412	21	23	42	2990	96	21	44	83	38856	31241	3701	39	433	22	24	44	3117	93	20	51	71	39140	31482	3637	47	441	19	21	46	3213	96	20	51	67	38976	30928	3626	58	486	23	26	58	3530	97	27	62	55
"Pomurska [prebivališèe]"	"Moški"	21495	17602	1832	14	185	6	24	42	1584	64	19	31	92	21083	17262	1819	14	175	6	22	41	1563	52	18	25	86	20937	17068	1747	17	159	8	10	36	1699	70	17	27	79	20038	16295	1633	11	172	4	12	29	1683	69	39	36	55	19654	15907	1641	16	206	4	8	19	1677	60	31	33	52	19666	15738	1786	15	220	3	10	17	1730	54	26	24	43	19667	15732	1853	19	224	9	11	31	1647	53	23	20	45	20055	16002	1868	21	264	5	11	22	1726	58	20	19	39	20223	16036	1907	13	259	10	13	27	1810	62	18	23	45	20507	16171	2045	17	264	10	13	32	1813	61	17	30	34	20787	16439	1999	21	271	10	13	31	1858	59	15	33	38	20676	16101	2038	28	290	13	18	35	2004	57	20	44	28
"Pomurska [prebivališèe]"	"Ženske"	16931	14655	1186	11	85	7	3	8	874	36	4	24	38	17408	14961	1328	11	76	3	13	9	895	31	3	19	59	17436	14969	1337	5	85	5	6	11	885	50	3	20	60	17201	14790	1293	8	100	5	9	12	878	39	11	20	36	16748	14240	1299	18	97	5	8	10	977	29	8	23	34	16388	13905	1228	13	91	5	13	11	1017	33	8	21	43	16779	13988	1482	18	131	7	16	11	1038	21	8	16	43	17340	14421	1539	21	158	5	14	13	1070	27	7	21	44	17820	14725	1602	28	153	11	10	15	1180	34	3	21	38	18349	15070	1656	22	169	12	11	12	1304	32	3	21	37	18353	15043	1638	26	170	9	8	15	1355	37	5	18	29	18300	14827	1588	30	196	10	8	23	1526	40	7	18	27
"Podravska [prebivališèe]"	"Spol - SKUPAJ"	119394	1552	104710	415	4226	66	278	187	6725	407	108	154	566	116298	1508	101883	426	4137	70	277	185	6537	413	106	140	616	114241	1587	98424	428	4189	103	175	198	7857	368	112	153	647	110769	1621	95071	446	4217	84	143	187	7738	391	114	237	520	111023	1701	94887	424	4276	85	148	185	8102	410	116	236	453	112811	1743	96349	451	4470	99	170	175	8180	367	86	236	485	114288	1926	97092	448	4672	73	183	160	8082	350	78	137	1087	116433	2005	98497	481	4915	80	184	195	8575	354	59	154	934	119900	2095	101200	520	5034	94	186	172	9200	366	66	176	791	124400	2228	104498	520	5222	100	205	187	9960	427	60	169	824	127414	2562	106802	525	5353	132	240	203	10178	432	60	173	754	124899	2752	103661	551	5495	105	225	192	10568	396	65	214	675
"Podravska [prebivališèe]"	"Moški"	66364	989	56887	255	2661	46	229	136	4359	227	77	96	402	63903	919	54836	275	2525	46	211	141	4108	231	73	88	450	61989	989	51801	270	2510	81	136	144	5213	203	78	96	468	59670	1011	49713	286	2533	61	101	134	5030	233	81	137	350	59858	1084	49610	267	2583	60	108	133	5228	262	86	137	300	61228	1114	50869	294	2696	70	121	123	5170	226	69	142	334	62159	1230	51269	275	2838	43	121	115	5086	217	64	91	810	62995	1243	51665	296	3001	47	120	138	5438	223	48	104	672	64595	1285	53137	322	2982	61	135	123	5602	240	52	119	537	67520	1354	55358	321	3044	68	144	135	6074	286	46	111	579	69697	1582	57123	318	3112	93	175	132	6180	297	51	118	516	68778	1656	55996	333	3202	64	165	139	6282	263	46	154	478
"Podravska [prebivališèe]"	"Ženske"	53030	563	47823	160	1565	20	49	51	2366	180	31	58	164	52395	589	47047	151	1612	24	66	44	2429	182	33	52	166	52252	598	46623	158	1679	22	39	54	2644	165	34	57	179	51099	610	45358	160	1684	23	42	53	2708	158	33	100	170	51165	617	45277	157	1693	25	40	52	2874	148	30	99	153	51583	629	45480	157	1774	29	49	52	3010	141	17	94	151	52129	696	45823	173	1834	30	62	45	2996	133	14	46	277	53438	762	46832	185	1914	33	64	57	3137	131	11	50	262	55305	810	48063	198	2052	33	51	49	3598	126	14	57	254	56880	874	49140	199	2178	32	61	52	3886	141	14	58	245	57717	980	49679	207	2241	39	65	71	3998	135	9	55	238	56121	1096	47665	218	2293	41	60	53	4286	133	19	60	197
"Koroška [prebivališèe]"	"Spol - SKUPAJ"	27466	20	1273	22686	1749	12	14	92	1431	44	15	29	101	26348	26	1542	21297	1710	21	20	89	1423	52	16	37	115	26718	30	1534	21636	1816	13	16	31	1431	46	9	43	113	25826	37	1288	21100	1791	10	16	23	1405	38	10	31	77	25444	29	1274	20691	1847	12	15	21	1398	46	10	27	74	25768	34	1228	20981	1901	9	16	26	1420	54	10	25	64	25829	40	1292	20650	1917	10	14	26	1409	49	6	23	393	26313	48	1311	21030	1965	15	15	41	1443	59	3	21	362	27025	58	1204	21799	1990	14	22	35	1507	55	2	23	316	27602	51	1201	22207	1997	14	19	39	1702	54	4	20	294	27694	45	1283	22252	1953	12	22	43	1683	66	5	21	309	27329	51	1307	21687	1919	12	24	50	1904	69	5	15	286
